"","week","prop.ascertain","lim.non.HH","measure","intervention","ymin","lower","middle","upper","ymax"
"378",2,0.5,"Inf","hh.con","Quarantine + SD",0,0,6,28,138
"379",3,0.5,"Inf","hh.con","Quarantine + SD",0,0,22,96,292
"380",4,0.5,"Inf","hh.con","Quarantine + SD",0,3,52,232,901
"381",5,0.5,"Inf","hh.con","Quarantine + SD",0,21,142,508,1221
"382",6,0.5,"Inf","hh.con","Quarantine + SD",0,40,254,966,2086
"383",7,0.5,"Inf","hh.con","Quarantine + SD",0,187,608,1672,4557
"384",8,0.5,"Inf","hh.con","Quarantine + SD",0,164,908,2146,4361
"385",1,0.75,"Inf","hh.con","Quarantine + SD",0,0,2,27,96
"386",2,0.75,"Inf","hh.con","Quarantine + SD",0,0,16,57,107
"387",3,0.75,"Inf","hh.con","Quarantine + SD",0,0,26,75,216
"388",4,0.75,"Inf","hh.con","Quarantine + SD",0,0,52,177,504
"389",5,0.75,"Inf","hh.con","Quarantine + SD",0,9,82,352,1002
"390",6,0.75,"Inf","hh.con","Quarantine + SD",0,14,140,525,2765
"391",7,0.75,"Inf","hh.con","Quarantine + SD",0,18,332,882,5930
"392",8,0.75,"Inf","hh.con","Quarantine + SD",0,5,330,1051,5415
"393",1,1,"Inf","hh.con","Quarantine + SD",0,0,0,19,70
"394",2,1,"Inf","hh.con","Quarantine + SD",0,0,24,64,171
"395",3,1,"Inf","hh.con","Quarantine + SD",0,0,42,117,253
"396",4,1,"Inf","hh.con","Quarantine + SD",0,0,54,164,546
"397",5,1,"Inf","hh.con","Quarantine + SD",0,0,34,254,733
"398",6,1,"Inf","hh.con","Quarantine + SD",0,0,20,251,1235
"399",7,1,"Inf","hh.con","Quarantine + SD",0,0,12,332,2252
"400",8,1,"Inf","hh.con","Quarantine + SD",0,0,2,353,2723
"401",1,0,"0","nhh.con","Quarantine + SD",0,0,0,41,125
"402",2,0,"0","nhh.con","Quarantine + SD",0,0,0,47,161
"403",3,0,"0","nhh.con","Quarantine + SD",0,0,0,54,189
"404",4,0,"0","nhh.con","Quarantine + SD",0,0,0,41,153
"405",5,0,"0","nhh.con","Quarantine + SD",0,0,0,0,142
"406",6,0,"0","nhh.con","Quarantine + SD",0,0,0,0,159
"407",7,0,"0","nhh.con","Quarantine + SD",0,0,0,0,26
"408",8,0,"0","nhh.con","Quarantine + SD",0,0,0,0,1
"409",1,0.25,"0","nhh.con","Quarantine + SD",0,0,0,11,114
"410",2,0.25,"0","nhh.con","Quarantine + SD",0,0,15,58,264
"411",3,0.25,"0","nhh.con","Quarantine + SD",0,0,14,88,255
"412",4,0.25,"0","nhh.con","Quarantine + SD",0,0,0,60,179
"413",5,0.25,"0","nhh.con","Quarantine + SD",0,0,0,0,138
"414",6,0.25,"0","nhh.con","Quarantine + SD",0,0,0,0,67
"415",7,0.25,"0","nhh.con","Quarantine + SD",0,0,0,0,51
"416",8,0.25,"0","nhh.con","Quarantine + SD",0,0,0,0,0
"417",1,0.5,"0","nhh.con","Quarantine + SD",0,0,0,28,130
"418",2,0.5,"0","nhh.con","Quarantine + SD",0,0,5,71,253
"419",3,0.5,"0","nhh.con","Quarantine + SD",0,0,5,84,219
"420",4,0.5,"0","nhh.con","Quarantine + SD",0,0,0,25,200
"421",5,0.5,"0","nhh.con","Quarantine + SD",0,0,0,0,85
"422",6,0.5,"0","nhh.con","Quarantine + SD",0,0,0,0,57
"423",7,0.5,"0","nhh.con","Quarantine + SD",0,0,0,0,6
"424",8,0.5,"0","nhh.con","Quarantine + SD",0,0,0,0,0
"425",1,0.75,"0","nhh.con","Quarantine + SD",0,0,0,14,112
"426",2,0.75,"0","nhh.con","Quarantine + SD",0,0,4,88,228
"427",3,0.75,"0","nhh.con","Quarantine + SD",0,0,0,39,269
"428",4,0.75,"0","nhh.con","Quarantine + SD",0,0,0,15,189
"429",5,0.75,"0","nhh.con","Quarantine + SD",0,0,0,0,174
"430",6,0.75,"0","nhh.con","Quarantine + SD",0,0,0,0,142
"431",7,0.75,"0","nhh.con","Quarantine + SD",0,0,0,0,91
"432",8,0.75,"0","nhh.con","Quarantine + SD",0,0,0,0,0
"433",1,1,"0","nhh.con","Quarantine + SD",0,0,0,24,126
"434",2,1,"0","nhh.con","Quarantine + SD",0,0,0,63,316
"435",3,1,"0","nhh.con","Quarantine + SD",0,0,0,84,301
"436",4,1,"0","nhh.con","Quarantine + SD",0,0,0,8,211
"437",5,1,"0","nhh.con","Quarantine + SD",0,0,0,0,63
"438",6,1,"0","nhh.con","Quarantine + SD",0,0,0,0,42
"439",7,1,"0","nhh.con","Quarantine + SD",0,0,0,0,0
"440",8,1,"0","nhh.con","Quarantine + SD",0,0,0,0,0
"441",1,0,"1","nhh.con","Quarantine + SD",0,0,0,35,149
"442",2,0,"1","nhh.con","Quarantine + SD",0,1,20,94,253
"443",3,0,"1","nhh.con","Quarantine + SD",0,0,15,118,553
"444",4,0,"1","nhh.con","Quarantine + SD",0,1,53,156,438
"445",5,0,"1","nhh.con","Quarantine + SD",0,1,74,162,467
"446",6,0,"1","nhh.con","Quarantine + SD",0,1,86,217,744
"447",7,0,"1","nhh.con","Quarantine + SD",0,4,82,278,842
"448",8,0,"1","nhh.con","Quarantine + SD",0,1,114,292,643
"449",1,0.25,"1","nhh.con","Quarantine + SD",0,0,0,3,111
"450",2,0.25,"1","nhh.con","Quarantine + SD",0,1,8,60,209
"451",3,0.25,"1","nhh.con","Quarantine + SD",0,0,13,65,221
"452",4,0.25,"1","nhh.con","Quarantine + SD",0,0,26,94,183
"453",5,0.25,"1","nhh.con","Quarantine + SD",0,1,27,170,378
"454",6,0.25,"1","nhh.con","Quarantine + SD",0,0,22,140,429
"455",7,0.25,"1","nhh.con","Quarantine + SD",0,0,64,223,560
"456",8,0.25,"1","nhh.con","Quarantine + SD",0,0,22,176,532
"457",1,0.5,"1","nhh.con","Quarantine + SD",0,0,1,24,131
"458",2,0.5,"1","nhh.con","Quarantine + SD",0,0,4,83,246
"459",3,0.5,"1","nhh.con","Quarantine + SD",0,0,22,131,308
"460",4,0.5,"1","nhh.con","Quarantine + SD",0,0,15,94,412
"461",5,0.5,"1","nhh.con","Quarantine + SD",0,0,19,126,323
"462",6,0.5,"1","nhh.con","Quarantine + SD",0,0,6,114,313
"463",7,0.5,"1","nhh.con","Quarantine + SD",0,0,2,94,470
"464",8,0.5,"1","nhh.con","Quarantine + SD",0,0,4,95,464
"465",1,0.75,"1","nhh.con","Quarantine + SD",0,0,0,22,133
"466",2,0.75,"1","nhh.con","Quarantine + SD",0,0,2,74,189
"467",3,0.75,"1","nhh.con","Quarantine + SD",0,0,18,98,316
"468",4,0.75,"1","nhh.con","Quarantine + SD",0,0,12,94,282
"469",5,0.75,"1","nhh.con","Quarantine + SD",0,0,13,84,330
"470",6,0.75,"1","nhh.con","Quarantine + SD",0,0,7,82,308
"471",7,0.75,"1","nhh.con","Quarantine + SD",0,0,1,92,412
"472",8,0.75,"1","nhh.con","Quarantine + SD",0,0,0,77,449
"473",1,1,"1","nhh.con","Quarantine + SD",0,0,1,25,126
"474",2,1,"1","nhh.con","Quarantine + SD",0,0,14,66,221
"475",3,1,"1","nhh.con","Quarantine + SD",0,0,14,108,339
"476",4,1,"1","nhh.con","Quarantine + SD",0,0,6,84,215
"477",5,1,"1","nhh.con","Quarantine + SD",0,0,0,92,462
"478",6,1,"1","nhh.con","Quarantine + SD",0,0,0,28,303
"479",7,1,"1","nhh.con","Quarantine + SD",0,0,0,48,257
"480",8,1,"1","nhh.con","Quarantine + SD",0,0,0,2,174
"481",1,0,"5","nhh.con","Quarantine + SD",0,0,5,44,152
"482",2,0,"5","nhh.con","Quarantine + SD",0,0,21,79,254
"483",3,0,"5","nhh.con","Quarantine + SD",0,0,38,222,689
"484",4,0,"5","nhh.con","Quarantine + SD",0,6,126,355,1313
"485",5,0,"5","nhh.con","Quarantine + SD",0,43,300,888,2259
"486",6,0,"5","nhh.con","Quarantine + SD",0,65,431,1722,4505
"487",7,0,"5","nhh.con","Quarantine + SD",0,123,966,3053,11013
"488",8,0,"5","nhh.con","Quarantine + SD",0,235,1108,3868,11154
"489",1,0.25,"5","nhh.con","Quarantine + SD",0,0,0,40,130
"490",2,0.25,"5","nhh.con","Quarantine + SD",0,5,16,115,337
"491",3,0.25,"5","nhh.con","Quarantine + SD",0,0,53,208,656
"492",4,0.25,"5","nhh.con","Quarantine + SD",0,5,105,351,798
"493",5,0.25,"5","nhh.con","Quarantine + SD",0,75,270,789,1755
"494",6,0.25,"5","nhh.con","Quarantine + SD",0,132,492,1174,4284
"495",7,0.25,"5","nhh.con","Quarantine + SD",0,165,899,2429,9874
"496",8,0.25,"5","nhh.con","Quarantine + SD",0,134,1194,3108,12826
"497",1,0.5,"5","nhh.con","Quarantine + SD",0,0,0,20,88
"498",2,0.5,"5","nhh.con","Quarantine + SD",0,0,26,148,362
"499",3,0.5,"5","nhh.con","Quarantine + SD",0,5,66,265,652
"500",4,0.5,"5","nhh.con","Quarantine + SD",0,5,144,426,1061
"501",5,0.5,"5","nhh.con","Quarantine + SD",0,44,208,729,1674
"502",6,0.5,"5","nhh.con","Quarantine + SD",0,36,352,1340,3197
"503",7,0.5,"5","nhh.con","Quarantine + SD",0,105,560,1589,5912
"504",8,0.5,"5","nhh.con","Quarantine + SD",0,157,770,1980,8041
"505",1,0.75,"5","nhh.con","Quarantine + SD",0,0,2,39,102
"506",2,0.75,"5","nhh.con","Quarantine + SD",0,2,13,77,312
"507",3,0.75,"5","nhh.con","Quarantine + SD",0,0,48,192,475
"508",4,0.75,"5","nhh.con","Quarantine + SD",0,0,48,236,927
"509",5,0.75,"5","nhh.con","Quarantine + SD",0,0,60,367,1463
"510",6,0.75,"5","nhh.con","Quarantine + SD",0,0,142,610,3349
"511",7,0.75,"5","nhh.con","Quarantine + SD",0,0,162,814,4798
"512",8,0.75,"5","nhh.con","Quarantine + SD",0,0,170,888,3986
"513",1,1,"5","nhh.con","Quarantine + SD",0,0,0,29,113
"514",2,1,"5","nhh.con","Quarantine + SD",0,0,10,60,235
"515",3,1,"5","nhh.con","Quarantine + SD",0,0,45,160,310
"516",4,1,"5","nhh.con","Quarantine + SD",0,0,26,206,808
"517",5,1,"5","nhh.con","Quarantine + SD",0,0,34,233,2002
"518",6,1,"5","nhh.con","Quarantine + SD",0,0,23,442,2637
"519",7,1,"5","nhh.con","Quarantine + SD",0,0,5,686,4326
"520",8,1,"5","nhh.con","Quarantine + SD",0,0,0,719,4455
"521",1,0,"10","nhh.con","Quarantine + SD",0,0,8,37,150
"522",2,0,"10","nhh.con","Quarantine + SD",0,7,26,72,296
"523",3,0,"10","nhh.con","Quarantine + SD",0,4,99,262,657
"524",4,0,"10","nhh.con","Quarantine + SD",0,52,270,580,1711
"525",5,0,"10","nhh.con","Quarantine + SD",0,101,554,1277,2944
"526",6,0,"10","nhh.con","Quarantine + SD",4,326,1060,2850,7871
"527",7,0,"10","nhh.con","Quarantine + SD",10,470,2414,5131,18677
"528",8,0,"10","nhh.con","Quarantine + SD",59,702,2457,7196,20352
"529",1,0.25,"10","nhh.con","Quarantine + SD",0,0,10,47,119
"530",2,0.25,"10","nhh.con","Quarantine + SD",0,7,29,119,377
"531",3,0.25,"10","nhh.con","Quarantine + SD",0,12,83,256,600
"532",4,0.25,"10","nhh.con","Quarantine + SD",0,32,154,520,1212
"533",5,0.25,"10","nhh.con","Quarantine + SD",0,44,458,1010,3064
"534",6,0.25,"10","nhh.con","Quarantine + SD",0,136,1054,2530,5113
"535",7,0.25,"10","nhh.con","Quarantine + SD",0,475,1776,5097,13037
"536",8,0.25,"10","nhh.con","Quarantine + SD",0,483,2681,6356,16629
"537",1,0.5,"10","nhh.con","Quarantine + SD",0,0,10,46,141
"538",2,0.5,"10","nhh.con","Quarantine + SD",0,10,55,116,260
"539",3,0.5,"10","nhh.con","Quarantine + SD",0,10,123,316,896
"540",4,0.5,"10","nhh.con","Quarantine + SD",0,19,191,518,1562
"541",5,0.5,"10","nhh.con","Quarantine + SD",0,33,164,747,1769
"542",6,0.5,"10","nhh.con","Quarantine + SD",0,76,388,1532,3864
"543",7,0.5,"10","nhh.con","Quarantine + SD",0,209,855,2145,6885
"544",8,0.5,"10","nhh.con","Quarantine + SD",0,156,878,2951,10556
"545",1,0.75,"10","nhh.con","Quarantine + SD",0,0,0,31,104
"546",2,0.75,"10","nhh.con","Quarantine + SD",0,10,48,144,519
"547",3,0.75,"10","nhh.con","Quarantine + SD",0,22,90,258,603
"548",4,0.75,"10","nhh.con","Quarantine + SD",0,0,106,473,1058
"549",5,0.75,"10","nhh.con","Quarantine + SD",0,8,114,576,1697
"550",6,0.75,"10","nhh.con","Quarantine + SD",0,0,236,1051,4207
"551",7,0.75,"10","nhh.con","Quarantine + SD",0,0,448,2113,7507
"552",8,0.75,"10","nhh.con","Quarantine + SD",0,0,544,2513,10747
"553",1,1,"10","nhh.con","Quarantine + SD",0,0,0,38,154
"554",2,1,"10","nhh.con","Quarantine + SD",0,0,20,82,266
"555",3,1,"10","nhh.con","Quarantine + SD",0,0,54,218,584
"556",4,1,"10","nhh.con","Quarantine + SD",0,0,72,316,980
"557",5,1,"10","nhh.con","Quarantine + SD",0,0,188,538,2148
"558",6,1,"10","nhh.con","Quarantine + SD",0,0,126,756,3009
"559",7,1,"10","nhh.con","Quarantine + SD",0,0,54,1327,7963
"560",8,1,"10","nhh.con","Quarantine + SD",0,0,102,1321,9300
"561",1,0,"Inf","nhh.con","Quarantine + SD",0,0,0,78,226
"562",2,0,"Inf","nhh.con","Quarantine + SD",0,0,72,224,589
"563",3,0,"Inf","nhh.con","Quarantine + SD",0,22,202,442,1404
"564",4,0,"Inf","nhh.con","Quarantine + SD",0,61,408,1238,3522
"565",5,0,"Inf","nhh.con","Quarantine + SD",0,108,916,3303,9424
"566",6,0,"Inf","nhh.con","Quarantine + SD",0,308,2447,7292,21042
"567",7,0,"Inf","nhh.con","Quarantine + SD",0,892,5168,16615,34890
"568",8,0,"Inf","nhh.con","Quarantine + SD",0,2340,8274,19515,43524
"569",1,0.25,"Inf","nhh.con","Quarantine + SD",0,0,0,70,230
"570",2,0.25,"Inf","nhh.con","Quarantine + SD",0,0,70,260,629
"571",3,0.25,"Inf","nhh.con","Quarantine + SD",0,0,178,646,1286
"572",4,0.25,"Inf","nhh.con","Quarantine + SD",0,84,356,766,3176
"573",5,0.25,"Inf","nhh.con","Quarantine + SD",0,287,904,1930,6188
"574",6,0.25,"Inf","nhh.con","Quarantine + SD",0,483,2060,5342,15269
"575",7,0.25,"Inf","nhh.con","Quarantine + SD",0,1383,4894,11865,38270
"576",8,0.25,"Inf","nhh.con","Quarantine + SD",0,1466,6935,14833,39892
"577",1,0.5,"Inf","nhh.con","Quarantine + SD",0,0,12,86,243
"578",2,0.5,"Inf","nhh.con","Quarantine + SD",0,0,90,220,479
"579",3,0.5,"Inf","nhh.con","Quarantine + SD",0,17,146,576,1618
"580",4,0.5,"Inf","nhh.con","Quarantine + SD",0,23,242,1007,3371
"581",5,0.5,"Inf","nhh.con","Quarantine + SD",0,138,682,2535,5817
"582",6,0.5,"Inf","nhh.con","Quarantine + SD",0,206,1180,4369,10347
"583",7,0.5,"Inf","nhh.con","Quarantine + SD",0,1040,2964,8174,19770
"584",8,0.5,"Inf","nhh.con","Quarantine + SD",0,865,4292,10920,24353
"585",1,0.75,"Inf","nhh.con","Quarantine + SD",0,0,18,90,195
"586",2,0.75,"Inf","nhh.con","Quarantine + SD",0,2,66,219,541
"587",3,0.75,"Inf","nhh.con","Quarantine + SD",0,4,96,412,1049
"588",4,0.75,"Inf","nhh.con","Quarantine + SD",0,29,253,796,1775
"589",5,0.75,"Inf","nhh.con","Quarantine + SD",0,74,419,1592,4847
"590",6,0.75,"Inf","nhh.con","Quarantine + SD",0,75,510,2620,13012
"591",7,0.75,"Inf","nhh.con","Quarantine + SD",0,80,1606,4308,27560
"592",8,0.75,"Inf","nhh.con","Quarantine + SD",0,45,1661,5375,24491
"593",1,1,"Inf","nhh.con","Quarantine + SD",0,0,2,63,159
"594",2,1,"Inf","nhh.con","Quarantine + SD",0,13,124,308,769
"595",3,1,"Inf","nhh.con","Quarantine + SD",0,0,214,503,1266
"596",4,1,"Inf","nhh.con","Quarantine + SD",0,4,280,756,2583
"597",5,1,"Inf","nhh.con","Quarantine + SD",0,0,260,1211,3735
"598",6,1,"Inf","nhh.con","Quarantine + SD",0,0,104,1316,6406
"599",7,1,"Inf","nhh.con","Quarantine + SD",0,0,44,1341,12681
"600",8,1,"Inf","nhh.con","Quarantine + SD",0,0,17,1398,13531
"601",1,0,"0","hh.con.orig","Quarantine + SD",15,27,44,78,208
"602",2,0,"0","hh.con.orig","Quarantine + SD",15,50,75,160,372
"603",3,0,"0","hh.con.orig","Quarantine + SD",6,33,82,197,692
"604",4,0,"0","hh.con.orig","Quarantine + SD",0,8,37,173,1211
"605",5,0,"0","hh.con.orig","Quarantine + SD",0,0,10,180,1358
"606",6,0,"0","hh.con.orig","Quarantine + SD",0,0,0,75,1338
"607",7,0,"0","hh.con.orig","Quarantine + SD",0,0,0,0,1011
"608",8,0,"0","hh.con.orig","Quarantine + SD",0,0,0,0,902
"609",1,0.25,"0","hh.con.orig","Quarantine + SD",7,21,39,68,159
"610",2,0.25,"0","hh.con.orig","Quarantine + SD",22,42,80,144,369
"611",3,0.25,"0","hh.con.orig","Quarantine + SD",0,27,66,150,612
"612",4,0.25,"0","hh.con.orig","Quarantine + SD",0,2,24,93,552
"613",5,0.25,"0","hh.con.orig","Quarantine + SD",0,0,0,54,545
"614",6,0.25,"0","hh.con.orig","Quarantine + SD",0,0,0,18,392
"615",7,0.25,"0","hh.con.orig","Quarantine + SD",0,0,0,0,379
"616",8,0.25,"0","hh.con.orig","Quarantine + SD",0,0,0,0,132
"617",1,0.5,"0","hh.con.orig","Quarantine + SD",16,28,46,82,155
"618",2,0.5,"0","hh.con.orig","Quarantine + SD",15,44,84,135,445
"619",3,0.5,"0","hh.con.orig","Quarantine + SD",0,21,70,190,553
"620",4,0.5,"0","hh.con.orig","Quarantine + SD",0,7,24,121,779
"621",5,0.5,"0","hh.con.orig","Quarantine + SD",0,0,7,37,1234
"622",6,0.5,"0","hh.con.orig","Quarantine + SD",0,0,0,0,984
"623",7,0.5,"0","hh.con.orig","Quarantine + SD",0,0,0,0,380
"624",8,0.5,"0","hh.con.orig","Quarantine + SD",0,0,0,0,89
"625",1,0.75,"0","hh.con.orig","Quarantine + SD",13,27,44,77,148
"626",2,0.75,"0","hh.con.orig","Quarantine + SD",15,50,85,126,372
"627",3,0.75,"0","hh.con.orig","Quarantine + SD",0,18,66,156,623
"628",4,0.75,"0","hh.con.orig","Quarantine + SD",0,0,26,146,794
"629",5,0.75,"0","hh.con.orig","Quarantine + SD",0,0,0,75,952
"630",6,0.75,"0","hh.con.orig","Quarantine + SD",0,0,0,10,1292
"631",7,0.75,"0","hh.con.orig","Quarantine + SD",0,0,0,0,995
"632",8,0.75,"0","hh.con.orig","Quarantine + SD",0,0,0,0,200
"633",1,1,"0","hh.con.orig","Quarantine + SD",15,26,43,68,204
"634",2,1,"0","hh.con.orig","Quarantine + SD",15,46,76,132,462
"635",3,1,"0","hh.con.orig","Quarantine + SD",0,22,60,122,642
"636",4,1,"0","hh.con.orig","Quarantine + SD",0,0,24,60,988
"637",5,1,"0","hh.con.orig","Quarantine + SD",0,0,0,19,1289
"638",6,1,"0","hh.con.orig","Quarantine + SD",0,0,0,0,643
"639",7,1,"0","hh.con.orig","Quarantine + SD",0,0,0,0,260
"640",8,1,"0","hh.con.orig","Quarantine + SD",0,0,0,0,0
"641",1,0,"1","hh.con.orig","Quarantine + SD",15,36,60,86,175
"642",2,0,"1","hh.con.orig","Quarantine + SD",14,54,132,223,471
"643",3,0,"1","hh.con.orig","Quarantine + SD",7,91,168,293,928
"644",4,0,"1","hh.con.orig","Quarantine + SD",0,99,230,427,1439
"645",5,0,"1","hh.con.orig","Quarantine + SD",0,110,298,676,2020
"646",6,0,"1","hh.con.orig","Quarantine + SD",0,128,408,944,2222
"647",7,0,"1","hh.con.orig","Quarantine + SD",0,164,526,1475,2667
"648",8,0,"1","hh.con.orig","Quarantine + SD",0,118,478,1148,2490
"649",1,0.25,"1","hh.con.orig","Quarantine + SD",12,28,43,74,130
"650",2,0.25,"1","hh.con.orig","Quarantine + SD",17,55,90,150,410
"651",3,0.25,"1","hh.con.orig","Quarantine + SD",16,48,114,225,478
"652",4,0.25,"1","hh.con.orig","Quarantine + SD",0,45,183,311,951
"653",5,0.25,"1","hh.con.orig","Quarantine + SD",0,73,173,385,1656
"654",6,0.25,"1","hh.con.orig","Quarantine + SD",0,62,216,550,2105
"655",7,0.25,"1","hh.con.orig","Quarantine + SD",0,47,240,832,2912
"656",8,0.25,"1","hh.con.orig","Quarantine + SD",0,14,204,666,1840
"657",1,0.5,"1","hh.con.orig","Quarantine + SD",10,27,40,69,148
"658",2,0.5,"1","hh.con.orig","Quarantine + SD",13,54,99,148,750
"659",3,0.5,"1","hh.con.orig","Quarantine + SD",19,58,122,277,1183
"660",4,0.5,"1","hh.con.orig","Quarantine + SD",0,50,147,274,1666
"661",5,0.5,"1","hh.con.orig","Quarantine + SD",0,60,130,434,1604
"662",6,0.5,"1","hh.con.orig","Quarantine + SD",0,40,170,543,1445
"663",7,0.5,"1","hh.con.orig","Quarantine + SD",0,40,116,702,2252
"664",8,0.5,"1","hh.con.orig","Quarantine + SD",0,21,113,550,2101
"665",1,0.75,"1","hh.con.orig","Quarantine + SD",17,29,48,78,130
"666",2,0.75,"1","hh.con.orig","Quarantine + SD",23,51,106,162,374
"667",3,0.75,"1","hh.con.orig","Quarantine + SD",16,53,117,201,969
"668",4,0.75,"1","hh.con.orig","Quarantine + SD",6,40,132,370,1323
"669",5,0.75,"1","hh.con.orig","Quarantine + SD",0,46,144,454,1372
"670",6,0.75,"1","hh.con.orig","Quarantine + SD",0,22,136,474,1665
"671",7,0.75,"1","hh.con.orig","Quarantine + SD",0,0,124,444,1909
"672",8,0.75,"1","hh.con.orig","Quarantine + SD",0,0,96,342,1602
"673",1,1,"1","hh.con.orig","Quarantine + SD",12,27,48,81,136
"674",2,1,"1","hh.con.orig","Quarantine + SD",20,65,107,144,404
"675",3,1,"1","hh.con.orig","Quarantine + SD",0,41,126,271,1064
"676",4,1,"1","hh.con.orig","Quarantine + SD",0,10,70,224,1386
"677",5,1,"1","hh.con.orig","Quarantine + SD",0,0,51,308,1671
"678",6,1,"1","hh.con.orig","Quarantine + SD",0,0,8,298,1604
"679",7,1,"1","hh.con.orig","Quarantine + SD",0,0,0,240,1861
"680",8,1,"1","hh.con.orig","Quarantine + SD",0,0,0,108,938
"681",1,0,"5","hh.con.orig","Quarantine + SD",14,25,47,82,221
"682",2,0,"5","hh.con.orig","Quarantine + SD",13,58,136,274,806
"683",3,0,"5","hh.con.orig","Quarantine + SD",0,102,260,725,1458
"684",4,0,"5","hh.con.orig","Quarantine + SD",0,139,626,1304,3201
"685",5,0,"5","hh.con.orig","Quarantine + SD",0,258,1158,2650,5544
"686",6,0,"5","hh.con.orig","Quarantine + SD",0,436,2184,5184,10828
"687",7,0,"5","hh.con.orig","Quarantine + SD",0,1123,4051,10736,21582
"688",8,0,"5","hh.con.orig","Quarantine + SD",0,1312,5578,12942,25943
"689",1,0.25,"5","hh.con.orig","Quarantine + SD",16,29,42,76,155
"690",2,0.25,"5","hh.con.orig","Quarantine + SD",32,64,120,225,522
"691",3,0.25,"5","hh.con.orig","Quarantine + SD",8,110,230,532,1073
"692",4,0.25,"5","hh.con.orig","Quarantine + SD",30,153,536,1126,2144
"693",5,0.25,"5","hh.con.orig","Quarantine + SD",32,350,1069,2182,4476
"694",6,0.25,"5","hh.con.orig","Quarantine + SD",55,614,1860,4393,8862
"695",7,0.25,"5","hh.con.orig","Quarantine + SD",0,1067,3485,7558,17278
"696",8,0.25,"5","hh.con.orig","Quarantine + SD",10,1355,4235,9174,19368
"697",1,0.5,"5","hh.con.orig","Quarantine + SD",14,33,54,80,183
"698",2,0.5,"5","hh.con.orig","Quarantine + SD",27,76,148,260,565
"699",3,0.5,"5","hh.con.orig","Quarantine + SD",11,147,306,604,985
"700",4,0.5,"5","hh.con.orig","Quarantine + SD",0,215,516,1070,1889
"701",5,0.5,"5","hh.con.orig","Quarantine + SD",0,304,878,1842,3571
"702",6,0.5,"5","hh.con.orig","Quarantine + SD",0,560,1371,3384,6068
"703",7,0.5,"5","hh.con.orig","Quarantine + SD",0,981,2334,5400,12348
"704",8,0.5,"5","hh.con.orig","Quarantine + SD",0,945,2826,5748,15392
"705",1,0.75,"5","hh.con.orig","Quarantine + SD",13,27,44,82,141
"706",2,0.75,"5","hh.con.orig","Quarantine + SD",18,55,102,191,448
"707",3,0.75,"5","hh.con.orig","Quarantine + SD",1,65,192,344,1108
"708",4,0.75,"5","hh.con.orig","Quarantine + SD",0,26,246,674,2263
"709",5,0.75,"5","hh.con.orig","Quarantine + SD",0,29,360,1054,4120
"710",6,0.75,"5","hh.con.orig","Quarantine + SD",0,4,508,1608,7268
"711",7,0.75,"5","hh.con.orig","Quarantine + SD",0,0,789,2455,11212
"712",8,0.75,"5","hh.con.orig","Quarantine + SD",0,0,662,2681,11889
"713",1,1,"5","hh.con.orig","Quarantine + SD",11,28,48,79,164
"714",2,1,"5","hh.con.orig","Quarantine + SD",21,50,92,186,378
"715",3,1,"5","hh.con.orig","Quarantine + SD",0,56,143,344,884
"716",4,1,"5","hh.con.orig","Quarantine + SD",0,15,140,507,1522
"717",5,1,"5","hh.con.orig","Quarantine + SD",0,0,126,936,3019
"718",6,1,"5","hh.con.orig","Quarantine + SD",0,0,91,1345,4554
"719",7,1,"5","hh.con.orig","Quarantine + SD",0,0,40,1997,7175
"720",8,1,"5","hh.con.orig","Quarantine + SD",0,0,19,1580,6907
"721",1,0,"10","hh.con.orig","Quarantine + SD",13,31,50,85,148
"722",2,0,"10","hh.con.orig","Quarantine + SD",22,76,144,260,512
"723",3,0,"10","hh.con.orig","Quarantine + SD",32,139,354,711,1283
"724",4,0,"10","hh.con.orig","Quarantine + SD",41,344,804,1513,2769
"725",5,0,"10","hh.con.orig","Quarantine + SD",89,665,1720,3232,6056
"726",6,0,"10","hh.con.orig","Quarantine + SD",156,1637,3827,6800,13891
"727",7,0,"10","hh.con.orig","Quarantine + SD",329,3392,7310,16397,28934
"728",8,0,"10","hh.con.orig","Quarantine + SD",323,4278,10152,22671,38989
"729",1,0.25,"10","hh.con.orig","Quarantine + SD",11,29,46,74,125
"730",2,0.25,"10","hh.con.orig","Quarantine + SD",15,50,104,216,421
"731",3,0.25,"10","hh.con.orig","Quarantine + SD",8,75,288,536,1361
"732",4,0.25,"10","hh.con.orig","Quarantine + SD",0,153,508,1145,2641
"733",5,0.25,"10","hh.con.orig","Quarantine + SD",0,274,1319,2618,6590
"734",6,0.25,"10","hh.con.orig","Quarantine + SD",0,504,2404,5671,13748
"735",7,0.25,"10","hh.con.orig","Quarantine + SD",0,1194,4210,11074,28732
"736",8,0.25,"10","hh.con.orig","Quarantine + SD",0,1451,5397,14389,36429
"737",1,0.5,"10","hh.con.orig","Quarantine + SD",14,30,50,80,142
"738",2,0.5,"10","hh.con.orig","Quarantine + SD",22,62,138,241,508
"739",3,0.5,"10","hh.con.orig","Quarantine + SD",4,112,263,490,1252
"740",4,0.5,"10","hh.con.orig","Quarantine + SD",0,144,465,934,1804
"741",5,0.5,"10","hh.con.orig","Quarantine + SD",0,258,767,1737,3210
"742",6,0.5,"10","hh.con.orig","Quarantine + SD",0,300,1442,3218,6613
"743",7,0.5,"10","hh.con.orig","Quarantine + SD",0,529,2378,5416,13165
