"","week","prop.ascertain","lim.non.HH","measure","intervention","ymin","lower","middle","upper","ymax"
"74",2,1,"1","weekly_cases","Quarantine + SD",2,5,8,11,18
"75",3,1,"1","weekly_cases","Quarantine + SD",0,4,10,18,29
"76",4,1,"1","weekly_cases","Quarantine + SD",0,1,6,15,35
"77",5,1,"1","weekly_cases","Quarantine + SD",0,0,5,18,46
"78",6,1,"1","weekly_cases","Quarantine + SD",0,0,1,17,53
"79",7,1,"1","weekly_cases","Quarantine + SD",0,0,0,15,56
"80",8,1,"1","weekly_cases","Quarantine + SD",0,0,0,7,39
"81",1,0,"5","weekly_cases","Quarantine + SD",2,3,4,5,10
"82",2,0,"5","weekly_cases","Quarantine + SD",2,6,10,16,32
"83",3,0,"5","weekly_cases","Quarantine + SD",0,8,22,36,76
"84",4,0,"5","weekly_cases","Quarantine + SD",0,11,44,74,159
"85",5,0,"5","weekly_cases","Quarantine + SD",0,21,70,157,321
"86",6,0,"5","weekly_cases","Quarantine + SD",0,40,126,312,666
"87",7,0,"5","weekly_cases","Quarantine + SD",0,64,242,619,1328
"88",8,0,"5","weekly_cases","Quarantine + SD",0,82,298,778,1725
"89",1,0.25,"5","weekly_cases","Quarantine + SD",2,3,4,6,9
"90",2,0.25,"5","weekly_cases","Quarantine + SD",3,7,12,16,26
"91",3,0.25,"5","weekly_cases","Quarantine + SD",1,10,20,34,63
"92",4,0.25,"5","weekly_cases","Quarantine + SD",3,17,37,67,142
"93",5,0.25,"5","weekly_cases","Quarantine + SD",3,27,63,127,297
"94",6,0.25,"5","weekly_cases","Quarantine + SD",3,42,100,240,572
"95",7,0.25,"5","weekly_cases","Quarantine + SD",0,87,186,427,1086
"96",8,0.25,"5","weekly_cases","Quarantine + SD",1,90,248,500,1190
"97",1,0.5,"5","weekly_cases","Quarantine + SD",2,3,5,6,8
"98",2,0.5,"5","weekly_cases","Quarantine + SD",3,7,12,17,30
"99",3,0.5,"5","weekly_cases","Quarantine + SD",1,10,20,40,58
"100",4,0.5,"5","weekly_cases","Quarantine + SD",0,17,29,67,100
"101",5,0.5,"5","weekly_cases","Quarantine + SD",0,26,52,108,201
"102",6,0.5,"5","weekly_cases","Quarantine + SD",0,32,84,181,388
"103",7,0.5,"5","weekly_cases","Quarantine + SD",0,61,137,282,802
"104",8,0.5,"5","weekly_cases","Quarantine + SD",0,62,168,328,942
"105",1,0.75,"5","weekly_cases","Quarantine + SD",2,3,4,5,8
"106",2,0.75,"5","weekly_cases","Quarantine + SD",3,6,9,13,25
"107",3,0.75,"5","weekly_cases","Quarantine + SD",1,6,15,24,55
"108",4,0.75,"5","weekly_cases","Quarantine + SD",0,3,18,40,97
"109",5,0.75,"5","weekly_cases","Quarantine + SD",0,4,24,66,191
"110",6,0.75,"5","weekly_cases","Quarantine + SD",0,1,41,94,351
"111",7,0.75,"5","weekly_cases","Quarantine + SD",0,0,51,136,617
"112",8,0.75,"5","weekly_cases","Quarantine + SD",0,0,48,150,746
"113",1,1,"5","weekly_cases","Quarantine + SD",2,4,4,5,7
"114",2,1,"5","weekly_cases","Quarantine + SD",2,6,9,14,24
"115",3,1,"5","weekly_cases","Quarantine + SD",0,4,12,24,58
"116",4,1,"5","weekly_cases","Quarantine + SD",0,1,14,38,102
"117",5,1,"5","weekly_cases","Quarantine + SD",0,0,10,62,193
"118",6,1,"5","weekly_cases","Quarantine + SD",0,0,8,89,303
"119",7,1,"5","weekly_cases","Quarantine + SD",0,0,4,94,392
"120",8,1,"5","weekly_cases","Quarantine + SD",0,0,2,91,452
"121",1,0,"10","weekly_cases","Quarantine + SD",2,3,5,6,9
"122",2,0,"10","weekly_cases","Quarantine + SD",3,6,12,17,30
"123",3,0,"10","weekly_cases","Quarantine + SD",3,11,26,44,80
"124",4,0,"10","weekly_cases","Quarantine + SD",4,20,54,95,187
"125",5,0,"10","weekly_cases","Quarantine + SD",8,46,115,212,405
"126",6,0,"10","weekly_cases","Quarantine + SD",14,100,250,488,954
"127",7,0,"10","weekly_cases","Quarantine + SD",34,208,539,1112,1954
"128",8,0,"10","weekly_cases","Quarantine + SD",30,266,697,1522,2538
"129",1,0.25,"10","weekly_cases","Quarantine + SD",2,3,4,5,8
"130",2,0.25,"10","weekly_cases","Quarantine + SD",2,5,9,15,30
"131",3,0.25,"10","weekly_cases","Quarantine + SD",1,8,23,36,87
"132",4,0.25,"10","weekly_cases","Quarantine + SD",0,11,40,82,193
"133",5,0.25,"10","weekly_cases","Quarantine + SD",0,18,90,168,434
"134",6,0.25,"10","weekly_cases","Quarantine + SD",0,39,171,365,981
"135",7,0.25,"10","weekly_cases","Quarantine + SD",0,84,307,777,2008
"136",8,0.25,"10","weekly_cases","Quarantine + SD",0,87,402,980,2510
"137",1,0.5,"10","weekly_cases","Quarantine + SD",2,3,5,6,8
"138",2,0.5,"10","weekly_cases","Quarantine + SD",3,6,10,18,30
"139",3,0.5,"10","weekly_cases","Quarantine + SD",1,10,20,34,73
"140",4,0.5,"10","weekly_cases","Quarantine + SD",0,11,30,65,110
"141",5,0.5,"10","weekly_cases","Quarantine + SD",0,16,44,115,227
"142",6,0.5,"10","weekly_cases","Quarantine + SD",0,20,91,208,449
"143",7,0.5,"10","weekly_cases","Quarantine + SD",0,31,150,412,859
"144",8,0.5,"10","weekly_cases","Quarantine + SD",0,42,182,452,1144
"145",1,0.75,"10","weekly_cases","Quarantine + SD",2,3,4,6,8
"146",2,0.75,"10","weekly_cases","Quarantine + SD",2,6,9,16,30
"147",3,0.75,"10","weekly_cases","Quarantine + SD",0,8,20,37,66
"148",4,0.75,"10","weekly_cases","Quarantine + SD",0,7,28,56,148
"149",5,0.75,"10","weekly_cases","Quarantine + SD",0,5,38,100,263
"150",6,0.75,"10","weekly_cases","Quarantine + SD",0,2,66,189,528
"151",7,0.75,"10","weekly_cases","Quarantine + SD",0,1,105,324,802
"152",8,0.75,"10","weekly_cases","Quarantine + SD",0,0,111,342,912
"153",1,1,"10","weekly_cases","Quarantine + SD",2,3,4,5,8
"154",2,1,"10","weekly_cases","Quarantine + SD",2,5,10,15,26
"155",3,1,"10","weekly_cases","Quarantine + SD",0,6,17,29,61
"156",4,1,"10","weekly_cases","Quarantine + SD",0,4,20,53,155
"157",5,1,"10","weekly_cases","Quarantine + SD",0,1,26,92,346
"158",6,1,"10","weekly_cases","Quarantine + SD",0,0,31,129,539
"159",7,1,"10","weekly_cases","Quarantine + SD",0,0,30,182,997
"160",8,1,"10","weekly_cases","Quarantine + SD",0,0,21,142,1240
"161",1,0,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,10
"162",2,0,"Inf","weekly_cases","Quarantine + SD",2,6,11,20,36
"163",3,0,"Inf","weekly_cases","Quarantine + SD",1,9,22,46,104
"164",4,0,"Inf","weekly_cases","Quarantine + SD",0,11,54,105,242
"165",5,0,"Inf","weekly_cases","Quarantine + SD",1,31,129,243,585
"166",6,0,"Inf","weekly_cases","Quarantine + SD",0,69,264,573,1307
"167",7,0,"Inf","weekly_cases","Quarantine + SD",0,165,548,1171,2672
"168",8,0,"Inf","weekly_cases","Quarantine + SD",0,187,714,1640,3901
"169",1,0.25,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,11
"170",2,0.25,"Inf","weekly_cases","Quarantine + SD",3,7,11,16,31
"171",3,0.25,"Inf","weekly_cases","Quarantine + SD",1,10,22,44,81
"172",4,0.25,"Inf","weekly_cases","Quarantine + SD",2,19,44,94,211
"173",5,0.25,"Inf","weekly_cases","Quarantine + SD",2,39,98,209,493
"174",6,0.25,"Inf","weekly_cases","Quarantine + SD",4,68,236,426,1166
"175",7,0.25,"Inf","weekly_cases","Quarantine + SD",1,134,455,927,2473
"176",8,0.25,"Inf","weekly_cases","Quarantine + SD",1,176,546,1193,3149
"177",1,0.5,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,9
"178",2,0.5,"Inf","weekly_cases","Quarantine + SD",3,6,11,17,37
"179",3,0.5,"Inf","weekly_cases","Quarantine + SD",1,10,22,42,78
"180",4,0.5,"Inf","weekly_cases","Quarantine + SD",0,13,38,82,170
"181",5,0.5,"Inf","weekly_cases","Quarantine + SD",0,24,87,186,333
"182",6,0.5,"Inf","weekly_cases","Quarantine + SD",0,38,169,332,709
"183",7,0.5,"Inf","weekly_cases","Quarantine + SD",0,70,344,628,1442
"184",8,0.5,"Inf","weekly_cases","Quarantine + SD",0,87,378,840,2009
"185",1,0.75,"Inf","weekly_cases","Quarantine + SD",2,3,4,5,8
"186",2,0.75,"Inf","weekly_cases","Quarantine + SD",3,6,11,16,30
"187",3,0.75,"Inf","weekly_cases","Quarantine + SD",1,8,23,39,72
"188",4,0.75,"Inf","weekly_cases","Quarantine + SD",0,8,38,71,159
"189",5,0.75,"Inf","weekly_cases","Quarantine + SD",0,15,58,118,395
"190",6,0.75,"Inf","weekly_cases","Quarantine + SD",0,16,86,213,880
"191",7,0.75,"Inf","weekly_cases","Quarantine + SD",0,29,160,412,1554
"192",8,0.75,"Inf","weekly_cases","Quarantine + SD",0,21,178,474,1576
"193",1,1,"Inf","weekly_cases","Quarantine + SD",2,3,4,6,8
"194",2,1,"Inf","weekly_cases","Quarantine + SD",3,6,12,19,32
"195",3,1,"Inf","weekly_cases","Quarantine + SD",1,7,16,36,81
"196",4,1,"Inf","weekly_cases","Quarantine + SD",0,3,27,62,160
"197",5,1,"Inf","weekly_cases","Quarantine + SD",0,0,28,99,243
"198",6,1,"Inf","weekly_cases","Quarantine + SD",0,0,19,136,385
"199",7,1,"Inf","weekly_cases","Quarantine + SD",0,0,15,146,727
"200",8,1,"Inf","weekly_cases","Quarantine + SD",0,0,6,151,814
"201",1,0,"0","hh.con","Quarantine + SD",0,0,0,18,66
"202",2,0,"0","hh.con","Quarantine + SD",0,0,0,2,35
"203",3,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"204",4,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"205",5,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"206",6,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"207",7,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"208",8,0,"0","hh.con","Quarantine + SD",0,0,0,0,0
"209",1,0.25,"0","hh.con","Quarantine + SD",0,0,0,16,73
"210",2,0.25,"0","hh.con","Quarantine + SD",0,0,0,5,24
"211",3,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"212",4,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"213",5,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"214",6,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"215",7,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"216",8,0.25,"0","hh.con","Quarantine + SD",0,0,0,0,0
"217",1,0.5,"0","hh.con","Quarantine + SD",0,0,0,16,57
"218",2,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,21
"219",3,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"220",4,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"221",5,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"222",6,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"223",7,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"224",8,0.5,"0","hh.con","Quarantine + SD",0,0,0,0,0
"225",1,0.75,"0","hh.con","Quarantine + SD",0,0,0,12,59
"226",2,0.75,"0","hh.con","Quarantine + SD",0,0,0,1,19
"227",3,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"228",4,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"229",5,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"230",6,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"231",7,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"232",8,0.75,"0","hh.con","Quarantine + SD",0,0,0,0,0
"233",1,1,"0","hh.con","Quarantine + SD",0,0,0,16,56
"234",2,1,"0","hh.con","Quarantine + SD",0,0,0,0,16
"235",3,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"236",4,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"237",5,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"238",6,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"239",7,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"240",8,1,"0","hh.con","Quarantine + SD",0,0,0,0,0
"241",1,0,"1","hh.con","Quarantine + SD",0,0,0,26,55
"242",2,0,"1","hh.con","Quarantine + SD",0,0,4,14,62
"243",3,0,"1","hh.con","Quarantine + SD",0,0,3,13,71
"244",4,0,"1","hh.con","Quarantine + SD",0,0,4,24,97
"245",5,0,"1","hh.con","Quarantine + SD",0,0,6,27,106
"246",6,0,"1","hh.con","Quarantine + SD",0,0,14,54,130
"247",7,0,"1","hh.con","Quarantine + SD",0,0,18,60,151
"248",8,0,"1","hh.con","Quarantine + SD",0,0,18,41,155
"249",1,0.25,"1","hh.con","Quarantine + SD",0,0,0,10,88
"250",2,0.25,"1","hh.con","Quarantine + SD",0,0,0,14,49
"251",3,0.25,"1","hh.con","Quarantine + SD",0,0,0,12,71
"252",4,0.25,"1","hh.con","Quarantine + SD",0,0,5,15,49
"253",5,0.25,"1","hh.con","Quarantine + SD",0,0,5,18,90
"254",6,0.25,"1","hh.con","Quarantine + SD",0,0,6,21,85
"255",7,0.25,"1","hh.con","Quarantine + SD",0,0,0,28,124
"256",8,0.25,"1","hh.con","Quarantine + SD",0,0,0,25,122
"257",1,0.5,"1","hh.con","Quarantine + SD",0,0,0,22,44
"258",2,0.5,"1","hh.con","Quarantine + SD",0,0,6,16,41
"259",3,0.5,"1","hh.con","Quarantine + SD",0,0,2,18,61
"260",4,0.5,"1","hh.con","Quarantine + SD",0,0,4,20,68
"261",5,0.5,"1","hh.con","Quarantine + SD",0,0,1,18,75
"262",6,0.5,"1","hh.con","Quarantine + SD",0,0,0,14,69
"263",7,0.5,"1","hh.con","Quarantine + SD",0,0,0,14,89
"264",8,0.5,"1","hh.con","Quarantine + SD",0,0,0,19,89
"265",1,0.75,"1","hh.con","Quarantine + SD",0,0,0,13,76
"266",2,0.75,"1","hh.con","Quarantine + SD",0,0,0,6,62
"267",3,0.75,"1","hh.con","Quarantine + SD",0,0,0,9,37
"268",4,0.75,"1","hh.con","Quarantine + SD",0,0,0,14,65
"269",5,0.75,"1","hh.con","Quarantine + SD",0,0,0,14,74
"270",6,0.75,"1","hh.con","Quarantine + SD",0,0,0,8,50
"271",7,0.75,"1","hh.con","Quarantine + SD",0,0,0,13,94
"272",8,0.75,"1","hh.con","Quarantine + SD",0,0,0,6,54
"273",1,1,"1","hh.con","Quarantine + SD",0,0,0,26,79
"274",2,1,"1","hh.con","Quarantine + SD",0,0,0,12,57
"275",3,1,"1","hh.con","Quarantine + SD",0,0,0,10,56
"276",4,1,"1","hh.con","Quarantine + SD",0,0,0,13,50
"277",5,1,"1","hh.con","Quarantine + SD",0,0,0,5,52
"278",6,1,"1","hh.con","Quarantine + SD",0,0,0,5,55
"279",7,1,"1","hh.con","Quarantine + SD",0,0,0,5,72
"280",8,1,"1","hh.con","Quarantine + SD",0,0,0,0,70
"281",1,0,"5","hh.con","Quarantine + SD",0,0,0,26,101
"282",2,0,"5","hh.con","Quarantine + SD",0,0,5,19,90
"283",3,0,"5","hh.con","Quarantine + SD",0,0,11,49,189
"284",4,0,"5","hh.con","Quarantine + SD",0,0,34,135,403
"285",5,0,"5","hh.con","Quarantine + SD",0,0,76,268,769
"286",6,0,"5","hh.con","Quarantine + SD",0,20,135,599,1522
"287",7,0,"5","hh.con","Quarantine + SD",0,38,292,1016,3036
"288",8,0,"5","hh.con","Quarantine + SD",0,52,424,1235,3424
"289",1,0.25,"5","hh.con","Quarantine + SD",0,0,0,15,72
"290",2,0.25,"5","hh.con","Quarantine + SD",0,0,4,20,61
"291",3,0.25,"5","hh.con","Quarantine + SD",0,0,10,54,209
"292",4,0.25,"5","hh.con","Quarantine + SD",0,0,35,123,233
"293",5,0.25,"5","hh.con","Quarantine + SD",0,9,74,234,539
"294",6,0.25,"5","hh.con","Quarantine + SD",0,18,118,432,1406
"295",7,0.25,"5","hh.con","Quarantine + SD",0,28,306,692,3051
"296",8,0.25,"5","hh.con","Quarantine + SD",0,44,327,910,3812
